id,question,correct_answer,difficulty,tags,hint,example,expected_output
1,Write a for loop to print numbers 1 to 5.,"for i in range(1, 6):\n    print(i)",easy,for-loop,"Use range(1,6) to go from 1 to 5","# Example: print numbers 1 to 3\nfor i in range(1, 4):\n    print(i)",1\n2\n3\n4\n5
2,Use a while loop to print 'Hi' exactly 3 times.,count = 0\nwhile count < 3:\n    print('Hi')\n    count += 1,easy,while-loop,Remember to increment count inside the loop,# Example: print 'Hello' twice\ncount = 0\nwhile count < 2:\n    print('Hello')\n    count += 1,Hi\nHi\nHi
3,Print even numbers from 2 to 10 using a for loop.,"for i in range(2, 11, 2):\n    print(i)",easy,for-loop,Step by 2 in range,"# Example: print even numbers from 2 to 6\nfor i in range(2, 7, 2):\n    print(i)",2\n4\n6\n8\n10
4,Count down from 5 to 1 and print each number.,"for i in range(5, 0, -1):\n    print(i)",easy,for-loop,Use a negative step in range,"# Example: count down from 3 to 1\nfor i in range(3, 0, -1):\n    print(i)",5\n4\n3\n2\n1
5,"Print the first 5 multiples of 3 (3, 6, 9, 12, 15).","for i in range(1, 6):\n    print(i * 3)",easy,for-loop,Multiply i by 3 on each iteration,"# Example: first 3 multiples of 2\nfor i in range(1, 4):\n    print(i * 2)",3\n6\n9\n12\n15
6,Use a for loop to print each character in the word 'hello'.,for char in 'hello':\n    print(char),easy,for-loop,You can iterate directly over a string,# Example: print each character in 'cat'\nfor char in 'cat':\n    print(char),h\ne\nl\nl\no
7,"Use a while loop to keep halving the number 64 until it reaches 1, printing each value.",n = 64\nwhile n >= 1:\n    print(n)\n    n = n // 2,easy,while-loop,Use integer division // by 2 each iteration,# Example: halve 8 until it reaches 1\nn = 8\nwhile n >= 1:\n    print(n)\n    n = n // 2,64\n32\n16\n8\n4\n2\n1
8,Calculate the sum of numbers from 1 to 10 using a loop. Print the result.,"total = 0\nfor num in range(1, 11):\n    total += num\nprint(total)",medium,for-loop,"range(1,11) includes 1 to 10","# Example: sum numbers 1 to 5\ntotal = 0\nfor num in range(1, 6):\n    total += num\nprint(total)",55
9,Find the factorial of 5 using a while loop. Print the result.,fact = 1\nnum = 5\nwhile num > 0:\n    fact *= num\n    num -= 1\nprint(fact),medium,while-loop,Multiply fact by num and decrease num,# Example: factorial of 3 (= 6)\nfact = 1\nnum = 3\nwhile num > 0:\n    fact *= num\n    num -= 1\nprint(fact),120
10,"Print numbers 1 to 15 with FizzBuzz rules: 'Fizz' for multiples of 3, 'Buzz' for multiples of 5, 'FizzBuzz' for both, otherwise the number.","for i in range(1, 16):\n    if i % 15 == 0:\n        print('FizzBuzz')\n    elif i % 3 == 0:\n        print('Fizz')\n    elif i % 5 == 0:\n        print('Buzz')\n    else:\n        print(i)",medium,for-loop,Check for multiples of 15 (both 3 and 5) first,"# Example: FizzBuzz for 1 to 6\nfor i in range(1, 7):\n    if i % 15 == 0:\n        print('FizzBuzz')\n    elif i % 3 == 0:\n        print('Fizz')\n    elif i % 5 == 0:\n        print('Buzz')\n    else:\n        print(i)",1\n2\nFizz\n4\nBuzz\nFizz\n7\n8\nFizz\nBuzz\n11\nFizz\n13\n14\nFizzBuzz
